2022-12-15 17:23:50,764 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities\Role.class]
2022-12-15 17:23:50,764 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities\Role.class]
2022-12-15 17:23:50,765 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities\User.class]
2022-12-15 17:23:50,766 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Entities\User.class]
2022-12-15 17:23:50,766 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\AppConfig.class]
2022-12-15 17:23:50,767 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\AppConfig.class]
2022-12-15 17:23:50,767 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\CorsFilter.class]
2022-12-15 17:23:50,767 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\CorsFilter.class]
2022-12-15 17:23:50,767 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\RoleFilter.class]
2022-12-15 17:23:50,768 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\RoleFilter.class]
2022-12-15 17:23:50,768 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\TokenFilter.class]
2022-12-15 17:23:50,768 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Filters\TokenFilter.class]
2022-12-15 17:23:50,768 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories\EventRepo.class]
2022-12-15 17:23:50,768 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories\EventRepo.class]
2022-12-15 17:23:50,768 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories\RoleRepo.class]
2022-12-15 17:23:50,769 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories\RoleRepo.class]
2022-12-15 17:23:50,769 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories\UserRepo.class]
2022-12-15 17:23:50,771 DEBUG   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Ignored because not a concrete top-level class: file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Repositories\UserRepo.class]
2022-12-15 17:23:50,771 TRACE   org.springframework.context.annotation.ClassPathBeanDefinitionScanner - Scanning file [C:\Users\ariel\StartAtGoogle\CalendarApp\Calendar_Server_Side\target\classes\AwesomeCalendar\Services\AuthService.class]
